,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
1071,Maharashtra,21,Aurangabad,4,2017,0,1,0,0,0,0,99.8,79140,99.4,11.2,99.9,100.4,80.0,98.1,0,390,47,84940,59.39,4.93,112,279,80,11,3,3,376,176102,0
1072,Maharashtra,21,Aurangabad,4,2018,1,0,1,0,1,0,99.8,70086,98.7,13.8,100.0,100.8,99.9,100.5,19840,1013,70,77675,99.88,14.45,141,279,81,11,3,3,377,191736,0
1073,Maharashtra,21,Aurangabad,4,2019,1,0,0,1,0,1,99.9,66584,99.0,9.8,103.1,108.4,93.1,109.6,72549,668,77,76588,115.64,10.03,193,279,81,11,3,3,377,207727,0
1074,Maharashtra,21,Bhandara,5,2017,0,1,0,0,0,0,99.8,17623,98.6,22.3,84.7,100.1,77.5,91.3,84,316,9,17535,51.07,17.93,112,193,35,7,2,2,239,176102,0
1075,Maharashtra,21,Bhandara,5,2018,1,0,1,0,1,0,99.8,16690,98.8,21.2,89.4,100.0,77.9,94.8,6970,269,9,16856,53.92,16.12,141,193,35,7,2,2,239,191736,0
1076,Maharashtra,21,Bhandara,5,2019,1,0,0,1,0,1,99.9,15975,98.8,20.1,94.3,106.5,88.3,98.3,16028,216,7,16294,43.82,13.52,193,193,35,7,2,2,239,207727,0
1077,Maharashtra,21,Bid,6,2017,0,1,0,0,0,0,99.9,47347,99.6,8.5,96.4,106.2,44.3,95.0,0,363,7,48621,14.78,7.67,112,280,55,10,3,4,352,176102,0
1078,Maharashtra,21,Bid,6,2018,1,0,1,0,1,0,100.0,46789,99.3,7.1,100.3,101.7,34.2,94.4,9355,356,13,47530,27.78,7.61,141,297,55,10,3,4,369,191736,0
1079,Maharashtra,21,Bid,6,2019,1,0,0,1,0,1,99.9,43151,99.6,13.2,101.7,112.1,40.6,108.9,43070,394,14,47553,32.44,9.13,193,297,55,10,3,4,369,207727,0
1080,Maharashtra,21,Brihan Mumbai,7,2017,0,1,0,0,0,0,100.0,153958,98.7,14.3,111.0,116.2,90.9,121.5,2,1796,240,283307,155.89,11.67,112,352,298,46,46,10,354,176102,0
1081,Maharashtra,21,Brihan Mumbai,7,2018,1,0,1,0,1,0,100.0,146609,98.9,15.1,109.0,113.3,89.2,116.3,466,1850,224,220969,152.79,12.62,141,369,298,46,46,10,354,191736,0
1082,Maharashtra,21,Brihan Mumbai,7,2019,1,0,0,1,0,1,100.0,139046,98.9,15.4,109.3,111.3,96.9,123.3,32,1451,224,191767,161.1,10.44,193,369,299,46,46,10,355,207727,0
1083,Maharashtra,21,Buldana,8,2017,0,1,0,0,0,0,99.1,33729,99.3,7.8,99.3,140.8,53.1,137.9,0,394,15,50137,44.47,11.68,112,280,58,12,2,3,355,176102,0
1084,Maharashtra,21,Buldana,8,2018,1,0,1,0,1,0,99.4,41156,99.0,6.8,91.9,118.4,32.4,112.7,3827,410,10,50358,24.3,9.96,141,280,58,12,2,3,355,191736,0
1085,Maharashtra,21,Buldana,8,2019,1,0,0,1,0,1,99.5,39771,99.2,6.4,106.7,122.3,42.4,118.1,43379,296,8,49061,20.12,7.44,193,280,58,12,2,3,355,207727,0
1086,Maharashtra,21,Chandrapur,9,2017,0,1,0,0,0,0,99.4,27804,98.3,28.1,83.3,102.1,76.8,109.5,21,560,20,32558,71.93,20.14,112,339,67,10,3,2,421,176102,0
1087,Maharashtra,21,Chandrapur,9,2018,1,0,1,0,1,0,99.7,30908,98.2,19.7,77.5,100.2,60.0,99.9,11239,605,24,31366,77.65,19.57,141,339,67,10,3,2,421,191736,0
1088,Maharashtra,21,Chandrapur,9,2019,1,0,0,1,0,1,99.8,26595,98.4,21.5,88.6,106.7,77.1,121.3,31693,607,19,31943,71.44,22.82,193,339,67,10,3,2,421,207727,0
1089,Maharashtra,21,Dhule,10,2017,0,1,0,0,0,0,99.2,39923,99.7,12.3,98.8,108.2,80.8,103.8,0,467,13,47011,32.56,11.7,112,232,48,5,2,2,289,176102,0
1090,Maharashtra,21,Dhule,10,2018,1,0,1,0,1,0,99.4,39497,98.8,10.1,74.3,105.6,48.9,97.2,8626,536,36,44045,91.15,13.57,141,232,51,5,2,2,292,191736,0
1091,Maharashtra,21,Dhule,10,2019,1,0,0,1,0,1,99.7,32178,98.5,18.0,95.0,155.2,67.8,127.5,36267,500,25,50034,77.69,15.54,193,232,49,5,2,2,290,207727,0
1092,Maharashtra,21,Gadchiroli,11,2017,0,1,0,0,0,0,94.1,17738,97.9,26.0,91.4,99.0,79.0,91.9,40,494,12,20397,67.65,27.85,112,376,48,9,3,3,439,176102,0
1093,Maharashtra,21,Gadchiroli,11,2018,1,0,1,0,1,0,94.4,16802,97.9,26.1,92.1,105.0,78.9,99.8,5103,427,12,18281,71.42,25.41,141,376,48,9,3,3,439,191736,0
1094,Maharashtra,21,Gadchiroli,11,2019,1,0,0,1,0,1,94.9,16297,97.9,26.8,93.3,102.0,81.3,108.0,18210,289,12,19168,73.63,17.73,193,376,48,9,3,3,439,207727,0
1095,Maharashtra,21,Gondiya,12,2017,0,1,0,0,0,0,99.8,17723,98.4,18.7,92.9,110.2,59.5,101.5,0,395,12,20451,67.71,22.29,112,238,41,10,1,3,293,176102,0
1096,Maharashtra,21,Gondiya,12,2018,1,0,1,0,1,0,99.9,17232,98.5,17.8,93.0,112.0,50.1,110.7,3486,298,5,19816,29.02,17.29,141,253,41,10,1,3,308,191736,0
1097,Maharashtra,21,Gondiya,12,2019,1,0,0,1,0,1,99.9,16495,98.3,24.6,91.7,105.4,61.6,117.6,19331,289,15,19846,90.94,17.52,193,258,41,10,1,3,313,207727,0
1098,Maharashtra,21,Hingoli,13,2017,0,1,0,0,0,0,99.4,18502,99.0,9.5,79.4,112.2,62.5,112.8,0,189,5,22764,27.02,10.22,112,132,27,3,1,3,166,176102,0
1099,Maharashtra,21,Hingoli,13,2018,1,0,1,0,1,0,99.5,16858,99.0,13.8,83.0,116.6,68.6,119.7,5315,215,2,23580,11.86,12.75,141,132,27,3,2,3,167,191736,0
1100,Maharashtra,21,Hingoli,13,2019,1,0,0,1,0,1,99.5,15918,99.1,12.6,90.3,125.1,66.3,141.9,22233,184,4,23101,25.13,11.56,193,132,27,3,2,3,167,207727,0
1101,Maharashtra,21,Jalgaon,14,2017,0,1,0,0,0,0,99.7,68870,99.3,4.8,82.1,110.8,39.2,103.3,0,665,20,77919,29.04,9.66,112,442,90,21,3,2,558,176102,0
1102,Maharashtra,21,Jalgaon,14,2018,1,0,1,0,1,0,100.0,69435,99.4,4.1,97.9,111.6,58.6,101.1,16741,333,32,81322,46.09,4.8,141,442,95,21,3,2,563,191736,0
1103,Maharashtra,21,Jalgaon,14,2019,1,0,0,1,0,1,100.0,67370,99.4,6.8,111.9,137.2,55.8,117.0,76670,313,25,84307,37.11,4.65,193,442,95,20,3,2,562,207727,0
1104,Maharashtra,21,Jalna,15,2017,0,1,0,0,0,0,99.9,31153,98.9,9.2,103.3,137.1,63.8,120.6,0,150,8,44035,25.68,4.81,112,213,43,8,1,3,268,176102,0
1105,Maharashtra,21,Jalna,15,2018,1,0,1,0,1,0,99.9,31235,98.8,9.0,120.2,141.1,59.5,121.9,5931,105,6,42751,19.21,3.36,141,218,43,8,1,3,273,191736,0
1106,Maharashtra,21,Jalna,15,2019,1,0,0,1,0,1,99.9,29403,99.0,14.5,126.8,156.6,68.9,134.8,37960,104,6,40667,20.41,3.54,193,218,43,8,1,3,273,207727,0
1107,Maharashtra,21,Kolhapur,16,2017,0,1,0,0,0,0,100.0,47042,99.5,9.3,120.3,133.0,62.9,130.4,371,452,32,64971,68.02,9.61,112,413,91,21,4,2,531,176102,0
1108,Maharashtra,21,Kolhapur,16,2018,1,0,1,0,1,0,100.0,45762,99.3,9.8,125.9,131.6,53.6,130.9,26119,514,31,60447,67.74,11.23,141,413,91,23,4,2,533,191736,0
1109,Maharashtra,21,Kolhapur,16,2019,1,0,0,1,0,1,100.0,41575,99.5,11.5,130.8,143.1,59.8,146.7,59907,425,16,62018,38.48,10.22,193,413,91,23,4,2,533,207727,0
1110,Maharashtra,21,Latur,17,2017,0,1,0,0,0,0,99.8,42706,99.3,6.4,101.4,122.7,48.9,99.7,1114,107,10,48697,23.42,2.51,112,252,55,10,2,3,322,176102,0
1111,Maharashtra,21,Latur,17,2018,1,0,1,0,1,0,100.0,43354,99.5,9.1,98.2,100.3,41.5,99.2,7003,94,9,46953,20.76,2.17,141,252,57,10,2,3,324,191736,0
1112,Maharashtra,21,Latur,17,2019,1,0,0,1,0,1,100.0,36463,99.1,8.5,99.6,143.7,54.2,120.7,41663,116,7,46175,19.2,3.18,193,252,57,10,2,3,324,207727,0
1113,Maharashtra,21,Nagpur,18,2017,0,1,0,0,0,0,99.9,69361,98.7,15.2,85.3,98.8,73.9,99.3,4018,276,199,87801,286.9,3.98,112,316,95,12,2,4,429,176102,0
1114,Maharashtra,21,Nagpur,18,2018,1,0,1,0,1,0,100.0,70103,99.4,15.6,100.2,100.2,82.9,99.5,20365,548,164,85305,233.94,7.82,141,316,95,12,2,4,429,191736,0
1115,Maharashtra,21,Nagpur,18,2019,1,0,0,1,0,1,100.0,63962,98.9,12.5,84.6,102.3,65.1,108.0,64293,951,177,79009,276.73,14.87,193,316,95,12,2,4,429,207727,0
1116,Maharashtra,21,Nanded,19,2017,0,1,0,0,0,0,99.8,64745,99.2,6.7,98.4,98.7,58.5,94.0,0,574,23,69250,35.52,8.87,112,379,80,13,4,4,480,176102,0
1117,Maharashtra,21,Nanded,19,2018,1,0,1,0,1,0,99.9,60903,99.4,8.5,94.7,97.8,76.7,97.4,20608,476,18,66528,29.56,7.82,141,379,80,13,4,4,480,191736,0
1118,Maharashtra,21,Nanded,19,2019,1,0,0,1,0,1,100.0,57008,99.5,7.7,107.6,116.1,67.2,105.6,58602,346,28,65946,49.12,6.07,193,379,80,13,4,4,480,207727,0
1119,Maharashtra,21,Nandurbar,20,2017,0,1,0,0,0,0,81.6,30302,98.4,18.9,87.4,111.0,64.0,100.8,0,740,31,36075,102.3,24.42,112,290,61,12,2,2,367,176102,0
1120,Maharashtra,21,Nandurbar,20,2018,1,0,1,0,1,0,82.0,27599,98.4,17.5,87.9,133.9,58.4,107.1,2275,708,29,38123,105.08,25.65,141,292,61,12,2,2,369,191736,0
1121,Maharashtra,21,Nandurbar,20,2019,1,0,0,1,0,1,84.4,29277,98.2,21.0,100.7,141.1,60.7,117.1,32835,605,48,42078,163.95,20.66,193,292,61,12,2,2,369,207727,0
1122,Maharashtra,21,Nashik,21,2017,0,1,0,0,0,0,97.8,96095,98.7,12.9,80.2,131.9,57.1,114.7,0,1148,78,123110,81.17,11.95,112,587,149,31,6,4,777,176102,0
1123,Maharashtra,21,Nashik,21,2018,1,0,1,0,1,0,98.6,95480,99.0,13.2,87.0,133.0,55.4,117.6,29282,818,73,137460,76.46,8.57,141,587,149,30,6,4,776,191736,0
1124,Maharashtra,21,Nashik,21,2019,1,0,0,1,0,1,98.3,93579,98.9,15.7,90.2,161.1,59.7,132.7,120753,634,93,133997,99.38,6.78,193,587,151,30,6,5,779,207727,0
1125,Maharashtra,21,Osmanabad,22,2017,0,1,0,0,0,0,99.7,24746,98.8,8.0,101.0,122.1,72.0,107.7,182,207,11,30008,44.45,8.36,112,211,44,7,3,3,268,176102,0
1126,Maharashtra,21,Osmanabad,22,2018,1,0,1,0,1,0,99.7,22854,99.0,8.6,100.7,123.6,60.5,118.5,7231,185,7,28601,30.63,8.09,141,211,44,7,3,3,268,191736,0
1127,Maharashtra,21,Osmanabad,22,2019,1,0,0,1,0,1,99.8,22079,99.1,9.5,106.4,132.1,67.0,126.1,26278,197,7,29110,31.7,8.92,193,211,44,7,3,3,268,207727,0
1128,Maharashtra,21,Palghar,23,2017,0,1,0,0,0,0,99.0,53359,99.2,19.9,93.8,111.5,65.5,109.3,110,475,24,61127,44.98,8.9,112,311,70,14,3,1,399,176102,0
1129,Maharashtra,21,Palghar,23,2018,1,0,1,0,1,0,99.0,52407,99.2,17.5,88.4,109.2,63.1,99.3,14870,365,19,60176,36.25,6.96,141,311,70,14,3,1,399,191736,0
1130,Maharashtra,21,Palghar,23,2019,1,0,0,1,0,1,99.2,47225,99.2,17.4,104.0,125.0,71.8,135.4,59733,217,18,63028,38.12,4.6,193,311,70,14,3,1,399,207727,0
1131,Maharashtra,21,Parbhani,24,2017,0,1,0,0,0,0,100.0,35366,99.7,4.2,74.5,112.8,47.0,93.7,0,286,4,36179,11.31,8.09,112,214,36,6,2,3,261,176102,0
1132,Maharashtra,21,Parbhani,24,2018,1,0,1,0,1,0,100.0,34187,99.5,7.9,69.1,102.7,45.4,96.3,9692,216,7,36991,20.48,6.32,141,214,38,6,2,3,263,191736,0
1133,Maharashtra,21,Parbhani,24,2019,1,0,0,1,0,1,100.0,31402,99.7,8.7,75.3,115.8,44.8,108.8,32048,142,1,37626,3.18,4.52,193,214,38,6,2,3,263,207727,0
1134,Maharashtra,21,Pune,25,2017,0,1,0,0,0,0,100.0,143623,99.0,14.7,86.3,113.6,76.0,109.2,2756,537,94,194257,65.45,3.74,112,539,191,28,11,4,773,176102,0
1135,Maharashtra,21,Pune,25,2018,1,0,1,0,1,0,100.0,150363,99.1,16.8,96.6,119.3,83.4,106.1,41965,1049,135,203173,89.78,6.98,141,539,192,28,11,4,774,191736,0
1136,Maharashtra,21,Pune,25,2019,1,0,0,1,0,1,100.0,139740,99.3,16.2,90.2,119.6,78.2,123.9,150462,802,109,208795,78.0,5.74,193,539,192,28,11,4,774,207727,0
1137,Maharashtra,21,Raigarh,26,2017,0,1,0,0,0,0,98.4,34677,98.8,13.6,91.1,96.2,65.3,115.1,329,299,28,41011,80.75,8.62,112,288,58,10,5,2,363,176102,0
1138,Maharashtra,21,Raigarh,26,2018,1,0,1,0,1,0,98.5,37073,99.3,11.6,77.4,103.2,84.6,100.2,4286,247,22,43752,59.34,6.66,141,288,59,10,5,2,364,191736,0
1139,Maharashtra,21,Raigarh,26,2019,1,0,0,1,0,1,99.1,37257,99.3,9.8,88.3,104.6,60.6,109.2,38191,233,13,44151,34.89,6.25,193,288,59,10,5,2,364,207727,0
1140,Maharashtra,21,Ratnagiri,27,2017,0,1,0,0,0,0,99.9,17467,98.9,12.0,83.1,103.5,47.6,96.5,0,125,7,18751,40.08,7.16,112,378,68,10,3,2,461,176102,0
1141,Maharashtra,21,Ratnagiri,27,2018,1,0,1,0,1,0,99.9,17169,99.1,12.7,78.7,100.9,42.1,92.0,5191,127,5,17962,29.12,7.4,141,378,68,10,3,2,461,191736,0
1142,Maharashtra,21,Ratnagiri,27,2019,1,0,0,1,0,1,99.9,15104,99.1,17.1,88.2,111.7,54.6,103.9,15338,89,13,16037,86.07,5.89,193,378,68,10,3,2,461,207727,0
1143,Maharashtra,21,Sangli,28,2017,0,1,0,0,0,0,100.0,47418,99.5,7.7,89.1,102.3,43.6,99.9,5,642,41,51511,86.47,13.54,112,320,70,15,2,3,410,176102,0
1144,Maharashtra,21,Sangli,28,2018,1,0,1,0,1,0,100.0,43425,99.2,13.2,99.8,126.4,48.7,109.1,16307,783,36,47987,82.9,18.03,141,320,71,15,2,3,411,191736,0
1145,Maharashtra,21,Sangli,28,2019,1,0,0,1,0,1,100.0,44030,99.3,14.0,116.8,141.4,43.7,118.6,48755,667,33,51106,74.95,15.15,193,320,71,15,2,3,411,207727,0
1146,Maharashtra,21,Satara,29,2017,0,1,0,0,0,0,100.0,44732,99.0,12.5,99.8,107.4,51.4,102.2,752,321,20,47089,44.71,7.18,112,401,76,16,2,2,497,176102,0
1147,Maharashtra,21,Satara,29,2018,1,0,1,0,1,0,100.0,43226,99.0,12.0,94.5,106.9,56.0,105.6,19199,333,25,48547,57.84,7.7,141,401,76,15,2,2,496,191736,0
1148,Maharashtra,21,Satara,29,2019,1,0,0,1,0,1,100.0,38969,99.1,14.8,123.4,138.1,50.8,125.8,46803,242,37,48120,94.95,6.21,193,401,76,15,2,2,496,207727,0
1149,Maharashtra,21,Sindhudurg,30,2017,0,1,0,0,0,0,99.9,7810,99.1,19.1,109.2,112.7,96.6,95.8,0,45,2,8435,25.61,5.76,112,248,38,7,3,2,298,176102,0
1150,Maharashtra,21,Sindhudurg,30,2018,1,0,1,0,1,0,99.9,7370,98.9,19.1,98.1,104.0,68.9,100.5,2708,42,1,8014,13.57,5.7,141,248,38,7,3,2,298,191736,0
1151,Maharashtra,21,Sindhudurg,30,2019,1,0,0,1,0,1,99.9,6503,99.2,22.4,98.8,111.0,85.9,109.2,7168,38,19,7674,292.17,5.84,193,248,38,7,3,2,298,207727,0
1152,Maharashtra,21,Solapur,31,2017,0,1,0,0,0,0,99.9,74094,99.2,6.7,75.9,105.7,32.3,106.2,499,872,32,87942,43.19,11.77,112,427,93,16,3,2,541,176102,0
1153,Maharashtra,21,Solapur,31,2018,1,0,1,0,1,0,99.9,70645,99.1,10.6,87.8,111.0,31.3,107.6,21626,871,21,82737,29.73,12.33,141,427,95,16,3,2,543,191736,0
1154,Maharashtra,21,Solapur,31,2019,1,0,0,1,0,1,100.0,56964,99.2,11.5,101.3,151.5,38.4,139.1,73592,832,45,86043,79.0,14.61,193,427,95,16,3,2,543,207727,0
1155,Maharashtra,21,Thane,32,2017,0,1,0,0,0,0,98.4,136853,99.3,12.0,66.8,112.3,50.0,115.8,12599,803,52,168743,38.0,5.87,112,183,131,10,5,8,337,176102,0
1156,Maharashtra,21,Thane,32,2018,1,0,1,0,1,0,99.1,135462,99.1,12.7,88.9,115.0,49.8,117.0,30565,702,66,168431,48.72,5.18,141,176,134,10,5,8,333,191736,0
1157,Maharashtra,21,Thane,32,2019,1,0,0,1,0,1,99.1,140125,99.2,9.7,70.9,103.7,47.2,113.2,142242,698,61,162409,43.53,4.98,193,176,134,10,5,8,333,207727,0
1158,Maharashtra,21,Wardha,33,2017,0,1,0,0,0,0,99.9,17317,99.5,14.8,95.7,101.6,68.7,104.4,0,249,26,19045,150.14,14.38,112,181,31,8,2,3,225,176102,0
1159,Maharashtra,21,Wardha,33,2018,1,0,1,0,1,0,99.8,16973,99.3,16.6,93.3,102.2,49.9,108.0,7331,221,25,19055,147.29,13.02,141,181,31,8,2,3,225,191736,0
1160,Maharashtra,21,Wardha,33,2019,1,0,0,1,0,1,99.8,16458,99.5,15.0,91.4,103.9,73.7,113.5,17967,146,26,18592,157.98,8.87,193,181,32,9,2,3,227,207727,0
1161,Maharashtra,21,Washim,34,2017,0,1,0,0,0,0,99.8,16300,99.3,10.8,93.7,106.8,73.2,117.3,82,162,1,20138,6.13,9.94,112,153,59,9,9,2,223,176102,0
1162,Maharashtra,21,Washim,34,2018,1,0,1,0,1,0,99.9,14948,99.4,8.2,66.5,111.6,50.5,121.4,5029,90,2,19955,13.38,6.02,141,153,26,9,9,2,190,191736,0
1163,Maharashtra,21,Washim,34,2019,1,0,0,1,0,1,99.8,12837,99.3,13.1,83.8,120.6,62.9,148.1,19193,98,2,19530,15.58,7.63,193,153,26,9,9,2,190,207727,0
1164,Maharashtra,21,Yavatmal,35,2017,0,1,0,0,0,0,99.9,43235,99.6,5.9,99.7,108.5,83.7,103.3,0,412,21,51124,48.57,9.53,112,445,63,14,3,2,527,176102,0
1165,Maharashtra,21,Yavatmal,35,2018,1,0,1,0,1,0,99.9,41892,99.9,5.1,103.6,112.1,94.0,113.5,8478,283,25,45387,59.68,6.76,141,445,69,14,3,2,533,191736,0
1166,Maharashtra,21,Yavatmal,35,2019,1,0,0,1,0,1,100.0,40790,99.9,8.7,83.4,117.3,72.2,105.8,40543,240,22,45451,53.93,5.88,193,445,69,14,3,2,533,207727,0
1167,Manipur,22,Bishnupur,1,2017,0,1,0,0,0,0,94.6,1103,99.5,3.0,90.2,342.2,88.2,337.0,0,8,2,4566,181.32,7.25,32,35,7,2,2,1,45,65008,1
1168,Manipur,22,Bishnupur,1,2018,1,0,1,0,1,0,96.1,947,99.3,1.5,94.5,377.1,92.4,349.0,2210,2,0,4573,0.0,2.11,49,35,7,2,2,1,45,69978,1
1169,Manipur,22,Bishnupur,1,2019,1,0,0,1,0,1,95.0,728,98.9,1.7,94.2,390.0,93.5,460.7,3124,1,0,4228,0.0,1.37,84,35,7,2,2,1,45,73477,1
1170,Manipur,22,Chandel,2,2017,0,1,0,0,0,0,24.3,841,99.6,1.2,23.7,146.7,20.2,135.4,4,2,0,1687,0.0,2.38,32,26,5,1,1,1,34,65008,1
1171,Manipur,22,Chandel,2,2018,1,0,1,0,1,0,36.6,869,99.8,1.5,38.6,146.5,35.6,115.9,749,4,1,1999,115.07,4.6,49,26,5,1,1,1,34,69978,1
1172,Manipur,22,Chandel,2,2019,1,0,0,1,0,1,50.7,679,99.7,1.6,53.2,186.9,46.2,175.8,1123,0,0,1928,0.0,0.0,84,26,5,1,1,1,34,73477,1
1173,Manipur,22,Churachandpur,3,2017,0,1,0,0,0,0,86.0,4240,99.5,4.1,83.0,97.6,79.2,107.1,1,73,3,6033,70.75,17.22,32,72,11,5,5,1,89,65008,1
1174,Manipur,22,Churachandpur,3,2018,1,0,1,0,1,0,88.0,4146,99.2,3.4,76.9,93.2,73.4,82.9,2731,52,2,5511,48.24,12.54,49,72,11,7,7,1,91,69978,1
1175,Manipur,22,Churachandpur,3,2019,1,0,0,1,0,1,89.5,3916,99.1,8.2,94.7,97.9,91.9,79.9,2436,79,0,5037,0.0,20.17,84,72,11,7,7,1,91,73477,1
1176,Manipur,22,Imphal East,4,2017,0,1,0,0,0,0,98.9,7967,99.8,0.5,51.9,108.0,36.1,90.1,0,4,1,8307,12.55,0.5,32,53,13,8,8,1,75,65008,1
1177,Manipur,22,Imphal East,4,2018,1,0,1,0,1,0,99.2,7923,99.6,0.7,69.6,89.9,67.7,84.4,4085,1,0,8233,0.0,0.13,49,53,14,8,8,1,76,69978,1
1178,Manipur,22,Imphal East,4,2019,1,0,0,1,0,1,98.9,6806,100.0,0.5,63.2,97.3,59.8,91.5,5397,9,4,7363,58.77,1.32,84,53,14,8,8,1,76,73477,1
1179,Manipur,22,Imphal West,5,2017,0,1,0,0,0,0,98.8,12851,99.2,10.2,84.6,68.4,79.0,64.0,0,17,9,9360,70.03,1.32,32,58,12,10,10,1,81,65008,1
1180,Manipur,22,Imphal West,5,2018,1,0,1,0,1,0,98.8,12882,99.4,9.3,84.7,69.1,84.8,56.9,4417,10,4,9945,31.05,0.78,49,58,13,9,9,1,81,69978,1
1181,Manipur,22,Imphal West,5,2019,1,0,0,1,0,1,99.0,13576,99.4,8.2,74.5,50.2,78.9,57.4,6251,8,22,9444,162.05,0.59,84,58,13,9,9,1,81,73477,1
1182,Manipur,22,Senapati,6,2017,0,1,0,0,0,0,31.9,5893,99.9,0.4,32.8,115.7,28.2,109.1,0,7,2,11371,33.94,1.19,32,69,14,3,3,1,87,65008,1
1183,Manipur,22,Senapati,6,2018,1,0,1,0,1,0,31.9,5997,99.9,0.7,41.5,117.5,31.8,101.3,4367,5,2,12165,33.35,0.83,49,69,14,3,3,1,87,69978,1
1184,Manipur,22,Senapati,6,2019,1,0,0,1,0,1,36.2,5467,99.9,0.2,44.9,118.3,39.8,111.8,5720,6,6,10262,109.75,1.1,84,69,14,3,3,1,87,73477,1
1185,Manipur,22,Tamenglong,7,2017,0,1,0,0,0,0,63.3,1133,99.4,1.5,75.8,164.0,71.0,129.2,0,15,1,2577,88.26,13.24,32,32,6,1,1,1,40,65008,1
1186,Manipur,22,Tamenglong,7,2018,1,0,1,0,1,0,63.6,1117,99.1,1.4,73.3,157.6,70.5,122.6,896,1,2,2824,179.05,0.9,49,32,6,1,1,1,40,69978,1
1187,Manipur,22,Tamenglong,7,2019,1,0,0,1,0,1,63.1,1118,99.5,2.3,70.8,131.8,65.2,123.8,1101,3,1,2167,89.45,2.68,84,32,6,1,1,1,40,73477,1
1188,Manipur,22,Thoubal,8,2017,0,1,0,0,0,0,88.2,2593,99.7,1.7,69.9,264.4,63.9,255.9,0,5,2,8367,77.13,1.93,32,55,15,5,5,1,76,65008,1
1189,Manipur,22,Thoubal,8,2018,1,0,1,0,1,0,87.9,2329,99.8,2.0,70.3,271.9,62.8,237.4,3976,0,0,8645,0.0,0.0,49,55,16,5,5,1,77,69978,1
1190,Manipur,22,Thoubal,8,2019,1,0,0,1,0,1,90.2,2558,100.0,1.6,70.7,209.5,62.9,228.5,5060,3,0,8649,0.0,1.17,84,55,16,5,5,1,77,73477,1
1191,Manipur,22,Ukhrul,9,2017,0,1,0,0,0,0,63.9,1956,99.5,2.0,63.2,114.8,41.8,86.3,12,10,3,3539,153.37,5.11,32,40,8,3,3,1,52,65008,1
1192,Manipur,22,Ukhrul,9,2018,1,0,1,0,1,0,63.4,1781,99.3,2.5,59.3,120.2,41.7,84.6,947,7,1,3406,56.15,3.93,49,40,8,3,3,1,52,69978,1
1193,Manipur,22,Ukhrul,9,2019,1,0,0,1,0,1,67.7,1730,99.4,2.4,65.1,108.9,57.0,89.4,1066,5,1,3238,57.8,2.89,84,40,8,3,3,1,52,73477,1
1194,Meghalaya,23,East Garo Hills,1,2017,0,1,0,0,0,0,33.7,4444,98.5,5.6,53.7,83.4,29.7,59.7,10,78,15,5741,337.53,17.55,18,33,8,1,1,1,43,81098,1
1195,Meghalaya,23,East Garo Hills,1,2018,1,0,1,0,1,0,38.1,4256,98.5,5.8,55.6,92.8,34.9,100.0,1077,57,10,5507,234.96,13.39,27,33,8,1,1,1,43,89023,1
1196,Meghalaya,23,East Garo Hills,1,2019,1,0,0,1,0,1,39.3,4432,97.6,5.5,60.1,92.5,33.1,98.4,2869,79,10,5635,225.63,17.82,62,33,8,1,1,1,43,98151,1
1197,Meghalaya,23,East Jaintia Hills,2,2017,0,1,0,0,0,0,32.3,2630,98.1,5.9,47.0,120.6,28.4,132.8,0,70,4,4627,152.09,26.62,18,37,6,2,2,2,45,81098,1
1198,Meghalaya,23,East Jaintia Hills,2,2018,1,0,1,0,1,0,39.8,2486,98.0,5.5,40.2,110.7,33.5,100.3,334,50,2,4511,80.45,20.11,27,37,6,2,2,2,45,89023,1
1199,Meghalaya,23,East Jaintia Hills,2,2019,1,0,0,1,0,1,41.6,2449,98.1,5.5,52.3,116.2,35.4,161.5,3276,64,4,4226,163.33,26.13,62,37,6,2,2,2,45,98151,1
1200,Meghalaya,23,East Khasi Hills,3,2017,0,1,0,0,0,0,78.3,24718,97.3,10.8,83.3,98.4,70.1,48.7,0,943,35,54795,141.6,38.15,18,80,43,7,7,10,140,81098,1
1201,Meghalaya,23,East Khasi Hills,3,2018,1,0,1,0,1,0,78.4,24581,97.5,10.3,76.8,93.4,62.5,28.6,0,845,34,61875,138.32,34.38,27,79,44,7,7,10,140,89023,1
1202,Meghalaya,23,East Khasi Hills,3,2019,1,0,0,1,0,1,77.7,25047,97.6,10.4,80.3,97.5,66.8,46.1,9239,806,42,55481,167.68,32.18,62,79,44,7,7,10,140,98151,1
1203,Meghalaya,23,North Garo Hills,4,2017,0,1,0,0,0,0,46.1,3431,98.5,4.5,71.5,115.2,37.8,77.6,79,95,12,4952,349.75,27.69,18,53,9,1,1,1,63,81098,1
