,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
122,Assam,4,Chirang,5,2019,1,0,0,1,0,1,81.8,6819,98.0,13.0,56.1,117.6,49.4,109.1,6360,148,9,8729,131.98,21.7,183,90,26,6,6,1,123,86182,1
123,Assam,4,Darrang,6,2017,0,1,0,0,0,0,83.7,17131,98.4,11.9,59.6,108.8,56.5,113.6,1570,293,17,21282,99.24,17.1,58,159,36,9,9,1,205,74183,1
124,Assam,4,Darrang,6,2018,1,0,1,0,1,0,89.8,17168,98.5,12.1,52.8,109.2,54.3,114.1,17431,218,15,21806,87.37,12.7,111,159,36,9,9,1,205,82078,1
125,Assam,4,Darrang,6,2019,1,0,0,1,0,1,97.1,17375,98.5,10.9,78,110.4,73.1,108.9,17444,215,20,20581,115.11,12.37,183,159,36,9,9,1,205,86182,1
126,Assam,4,Dhemaji,7,2017,0,1,0,0,0,0,99.3,14744,98.1,9.7,63.7,88.2,57.1,85.7,310,317,15,14599,101.74,21.5,58,100,26,6,6,1,133,74183,1
127,Assam,4,Dhemaji,7,2018,1,0,1,0,1,0,99.8,14837,98.3,10.1,48.4,90.8,49.7,83.5,10149,307,11,14634,74.14,20.69,111,100,27,6,6,1,134,82078,1
128,Assam,4,Dhemaji,7,2019,1,0,0,1,0,1,99.7,13828,98.2,9.5,83.3,95.7,74.5,86.4,10515,271,14,13270,101.24,19.6,183,100,27,6,6,1,134,86182,1
129,Assam,4,Dhubri,8,2017,0,1,0,0,0,0,56.5,49364,98.0,13.2,38.2,103.0,33.4,90.1,1792,1189,67,54636,135.73,24.09,58,257,50,6,2,1,316,74183,1
130,Assam,4,Dhubri,8,2018,1,0,1,0,1,0,61.0,45993,98.1,15.5,31.5,104.2,37.5,102.8,36685,754,60,56757,130.45,16.39,111,259,49,8,2,1,319,82078,1
131,Assam,4,Dhubri,8,2019,1,0,0,1,0,1,61.1,43670,97.8,13.8,38,110.9,36.7,102.8,41958,988,91,53960,208.38,22.62,183,259,49,8,2,1,319,86182,1
132,Assam,4,Dibrugarh,9,2017,0,1,0,0,0,0,99.6,23271,97.5,23.3,85.3,99.8,65.0,83.9,25,685,71,24995,305.1,29.44,58,311,62,11,11,1,385,74183,1
133,Assam,4,Dibrugarh,9,2018,1,0,1,0,1,0,99.8,23659,98.0,22.1,74.4,94.2,67.9,87.4,14875,601,67,24154,283.19,25.4,111,262,111,12,12,1,386,82078,1
134,Assam,4,Dibrugarh,9,2019,1,0,0,1,0,1,99.8,23017,97.5,22.6,81.5,94.5,72.0,84.5,17334,507,73,22016,317.16,22.03,183,262,112,12,12,1,387,86182,1
135,Assam,4,Dima Hasao,10,2017,0,1,0,0,0,0,67.7,3824,98.1,7.7,69.6,100.9,56.9,94.4,17,75,10,4986,261.51,19.61,58,74,13,2,2,1,90,74183,1
136,Assam,4,Dima Hasao,10,2018,1,0,1,0,1,0,68.6,3721,98.0,7.1,51.6,101.0,54.9,89.4,2357,61,7,4778,188.12,16.39,111,79,13,3,3,1,96,82078,1
137,Assam,4,Dima Hasao,10,2019,1,0,0,1,0,1,66.7,3570,98.4,6.3,64.3,103.4,45.8,93.4,2985,62,5,4321,140.06,17.37,183,79,13,3,3,1,96,86182,1
138,Assam,4,Goalpara,11,2017,0,1,0,0,0,0,92.9,24891,98.0,12.9,50.5,107.8,47.2,91.3,2738,490,37,26115,148.65,19.69,58,155,40,12,12,1,208,74183,1
139,Assam,4,Goalpara,11,2018,1,0,1,0,1,0,95.5,24088,97.5,13.0,37.3,101.8,40.7,94.1,21447,602,41,26202,170.21,24.99,111,155,41,12,12,1,209,82078,1
